CONCEPTO,DEPARTAMENTO,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008_P,2008_R,2008_V,2008,2009_P,2009,2010_P ,2010,2011_P,2011_AD,2011,2012,2013_P,2013_V,2013,2014_P,2014_V,2014,2015_P,2015,2016_P,2016,2017_P,2017,2018_P,2018,2019_P,2019,2020_P
REGALIAS HIDROCARBURIFERAS,POTOSI,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
REGALIAS HIDROCARBURIFERAS,TARIJA,0,0,0,0,0,37.53697725,39.04554214,27.70248245,21.92429036,46.30244007,92.79231975,134.37908112,291.11762691,522.84719453,943.87894586,1288.09178194,1354.1257299,1254.573953,566.091578,1820.665531,1436.788997516,1561.732677,1492.01704078442,1014.593973,1610.7384605639,1688.671155,161.746068,1951.3388713088,2955.10217155,2318.39662,3441.302678,3467.96418089,2525.745567,3573.321312,3625.38914155455,2985.975779,2524.21669279,1649.752748,1342.84393016,1300.44118,991.34380718,661.494825,745.96526614,774.76765795,616.07489125,613.60586815
REGALIAS HIDROCARBURIFERAS,SANTA CRUZ,0,0,0,0,0,80.06752476,82.71057842,73.87753599,70.68056985,147.22619237,170.68127798,167.03395591,201.40233681,223.78265797,253.96214214,299.39084915,314.02570655,311.601881,140.601677,452.203558,335.0453257846,422.976947,357.4488165954,310.240053,402.8115388491,441.168572,72.939409,580.4732447341,916.921982815,571.295725,986.357673,999.51832924,506.065557,962.770176,974.37496917,840.022688,705.13831386,539.04193,358.92492256,347.850316,611.24741333,584.403842,874.1436925,799.515099,714.22879986,691.07839
REGALIAS HIDROCARBURIFERAS,BENI,0,0,0,0,0,12.95222592,9.24022172,10.87438029,10.83430141,25.31062852,27.03108143,27.77366982,41.21165152,61.10867556,88.93455532,115.09813862,121.7241705,116.208737,52.639856,168.848593,131.4940210009,144.97638,134.9174641944,94.873334,141.8288779094,146.658698,16.030553,175.2038939817,265.38969342,198.631611,317.195298,320.09394988,219.716835,326.004546,329.60442114,270.352712,231.51019741,154.066402,124.37095209,119.37585,131.4969331,129.244813,159.08048244,161.62501,134.32097923,130.35836
REGALIAS HIDROCARBURIFERAS,PANDO,0,0,0,0,0,6.33320565,6.50350223,5.27304886,5.35652587,10.61101958,13.31520781,13.23608414,20.66945027,53.10643703,43.39302333,57.37953234,60.89052023,58.174619,26.249677,84.424296,65.7470008943,72.48819,67.4587320275,47.436667,70.9144389547,73.329349,8.015286,87.601450165,132.69484634,99.315806,158.597649,160.04797495,109.858417,163.002273,164.80221052,135.176356,115.75509889,77.033201,62.18547585,59.687925,65.74846634,64.622406,79.54024131,80.812505,67.16048957,65.17918
REGALIAS FORESTALES,CHUQUISACA,0,0,0,0,0,0.10209849,0,0,0.12266715,0,0.0486672,0.04568542,0.03321389,0.05840125,0.0337911,0,0.06818863,0.052511,,0.052511,0.05977173,0.08528,0.01298873,0.06995,0.05353035,0.091633,0,0.02876953,0.02551418,0.099685,0.099685,0.04771507,0.121681,0.121681,0.04854683,0.1345,0.05369658,0.134216,0.07782942,0.109271,0.0811488,0.099939,0.21634364,0.099939,0.09725055,0.183189
REGALIAS FORESTALES,LA PAZ,0,0,0,0,0,0.57795997,0.39189726,1.25697307,0.40337994,0.48539732,0.48355888,0.4834421,0.76028394,0.69769976,0.78589946,0.77348737,0.58983871,0.492946,,0.492946,0.840951,0.565215,0.33424103,0.572161,0.5340293,0.631427,0,0.78944433,0.71212913,0.718366,0.718366,1.31370967,0.767765,0.767765,0.73749819,0.734209,1.07287939,0.654254,0.84619315,0.569771,0.58346049,0.478618,0.48880417,0.478618,0.57443151,0.413895
REGALIAS FORESTALES,COCHABAMBA,0,0,0,0,0,0.59970032,0.58384664,0.64592349,0.38964853,0.13287878,0.0990513,0.1303243,0,0,0.16962212,0.0544788,0.15682201,0.225971,,0.225971,0.28196222,0.208292,0.2093299,0.2266,0.17009688,0.2166,0,0.23239332,0.13308146,0.234483,0.234483,0.21488151,0.293983,0.293983,0.13214607,0.318089,0.22625737,0.316139,0.13234121,0.292531,0.122598,0.107835,0.1379281,0.107835,0.52018498,0.116791
REGALIAS FORESTALES,ORURO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
REGALIAS FORESTALES,POTOSI,0,0,0,0,0,0,0,0,0,0,0,1.05E-05,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.04443072,0,0,0,0,0,0,0
REGALIAS FORESTALES,TARIJA,0,0,0,0,0,0.28661353,0.12663666,0,0.1025801,0.2973143,0.14985651,0.08243474,0,0.1232574,0.21163527,1.09981639,0.56666991,0.358968,,0.358968,1.21242925,0.427009,0.41822693,0.277284,0.55613783,0.255283,0,0.23574993,0.14136611,0.274604,0.274604,0.27732513,0.342028,0.342028,0.25358541,0.374696,0.27175475,0.373889,0.20555504,0.315512,0.27376825,0.173187,0.37027267,0.173187,0.48044768,0.313528
